CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
61.079.117/0001-05;2015-01-01;1;ALPARGATAS S.A.;010456;FCA;43742;2015-02-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43742
61.079.117/0001-05;2015-01-01;2;ALPARGATAS S.A.;010456;FCA;46058;2015-04-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46058
61.079.117/0001-05;2015-01-01;3;ALPARGATAS S.A.;010456;FCA;47030;2015-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=47030
61.079.117/0001-05;2015-01-01;4;ALPARGATAS S.A.;010456;FCA;52614;2015-12-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=52614
61.080.313/0001-91;2015-01-01;1;COBRASMA S.A.;004448;FCA;44903;2015-03-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44903
61.080.313/0001-91;2015-01-01;2;COBRASMA S.A.;004448;FCA;47593;2015-05-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=47593
61.082.004/0001-50;2015-01-01;1;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;008427;FCA;44111;2015-02-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44111
61.084.984/0001-20;2015-01-01;1;BRASMOTOR SA;001970;FCA;43826;2015-02-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43826
61.084.984/0001-20;2015-01-01;2;BRASMOTOR SA;001970;FCA;44361;2015-02-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44361
61.084.984/0001-20;2015-01-01;3;BRASMOTOR SA;001970;FCA;48987;2015-07-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=48987
61.084.984/0001-20;2015-01-01;4;BRASMOTOR SA;001970;FCA;50438;2015-09-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=50438
61.088.894/0001-08;2015-01-01;1;CAMBUCI S.A.;002100;FCA;45593;2015-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45593
61.088.894/0001-08;2015-01-01;2;CAMBUCI S.A.;002100;FCA;46045;2015-04-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46045
