date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3
2023-04-27,0.87247698,1.97092675,0.73224820,1.08384363,1.17059825,1.09641065,1.81982644,1.11578040,0.91498920,1.14645313
2023-04-28,0.87247698,1.97738578,0.73703760,1.06997895,1.18090764,1.10193543,1.65248608,1.15210961,0.92314964,1.16833092
2023-05-02,0.87863854,1.93032714,0.72742082,1.07084620,1.17661306,1.05929745,1.58554993,1.13978927,0.88668268,1.15980711
2023-05-03,0.89835553,1.92432947,0.73274778,1.05871602,1.19494219,1.05759116,1.57997192,1.14010517,0.87979731,1.13366741
2023-05-04,0.90143631,1.94601335,0.74980300,1.05351254,1.22043296,1.06610329,1.60507297,1.12746893,0.85251084,1.11661978
2023-05-05,0.89281013,1.99537879,0.78710450,1.02839619,1.24019762,1.10566590,1.67340362,1.13505068,0.88030734,1.11434676
2023-05-08,0.89404244,1.98753569,0.81641876,1.02579445,1.24420749,1.12097906,1.70896345,1.13852564,0.89216547,1.11377851
2023-05-09,0.89342629,1.98153802,0.80842513,1.03792464,1.21728119,1.12778972,1.71454146,1.14515967,0.90134597,1.13253090
2023-05-10,0.88726472,2.00737413,0.81002386,1.05178931,1.22301130,1.14438018,1.71035795,1.15463686,0.88438756,1.11804041
2023-05-11,0.89342629,2.04843511,0.82067777,1.06737722,1.23160446,1.15544210,1.77311059,1.17106397,0.86717413,1.11718803
2023-05-12,0.89034550,2.04059200,0.82441240,1.05437979,1.25050700,1.14480434,1.83028521,1.17485485,0.86806668,1.10553882
2023-05-15,0.90082016,2.05028055,0.83720222,1.07084620,1.25852675,1.14906041,1.78914737,1.17422303,0.88056235,1.12628010
2023-05-16,0.89958785,1.99122656,0.83027014,1.05611428,1.23761927,1.14522850,1.83377147,1.16948444,0.86245638,1.12798486
2023-05-17,0.89712322,1.99445608,0.83400476,1.03532290,1.21642308,1.15671458,1.78914737,1.17169579,0.89101791,1.12116581
2023-05-18,0.89650707,1.99307200,0.83666504,1.03705739,1.21212851,1.15246333,1.79960615,1.17390713,0.89229298,1.11661978
2023-05-19,0.89835553,2.03182618,0.85691772,1.05005482,1.22072167,1.14310288,1.90772979,1.17137988,0.88247495,1.14020233
2023-05-22,0.90082016,2.00506734,0.84839331,1.04485134,1.21699649,1.12140804,1.88564958,1.17137988,0.86832169,1.14673726
2023-05-23,0.89897169,2.05212598,0.85531899,1.03965913,1.20897675,1.13033951,1.93201801,1.17675028,0.84868564,1.14275948
2023-05-24,0.90328478,2.05950773,0.82920858,1.03965913,1.21069698,1.12395782,1.96145829,1.17927753,0.82943210,1.13139439
2023-05-25,0.90821403,2.06043045,0.85904722,1.04311685,1.21785461,1.15926918,1.94673815,1.18843881,0.82688196,1.10923247
2023-05-26,0.90944634,2.04843511,0.85904722,1.04224960,1.22100637,1.15033289,1.97249839,1.19033425,0.84575298,1.12258645
2023-05-29,0.90944634,2.04474423,0.86011517,1.03705739,1.23217787,1.14522850,1.96440232,1.19602056,0.83937764,1.10468644
2023-05-30,0.89219397,2.06227589,0.83666504,1.03185391,1.22415813,1.12978483,1.94232211,1.18749109,0.81961407,1.08934357
2023-05-31,0.88788088,2.05858501,0.82654190,1.01366427,1.20382005,1.12084765,1.92244992,1.16632538,0.81362125,1.06860229
2023-06-01,0.87740623,2.06412132,0.84196040,1.01972373,1.21183980,1.13659986,1.98427450,1.17137988,0.83083468,1.05666894
2023-06-02,0.89096166,2.07011899,0.85583514,1.02926344,1.22931081,1.15320094,2.00046665,1.16664129,0.86628158,1.07030705
2023-06-05,0.88788088,2.07703938,0.87130416,1.02926344,1.22759459,1.15575235,2.02181085,1.15842773,0.85914120,1.06917054
2023-06-06,0.91314328,2.10103006,0.88517890,1.05524703,1.24821737,1.16384068,2.06449925,1.18022525,0.86194635,1.08536579
2023-06-07,0.91499175,2.10010735,0.88464747,1.05698152,1.23990891,1.16724578,2.12485181,1.18338431,0.87558958,1.08394515
2023-06-09,0.93286027,2.20252910,0.89958506,1.08730135,1.25795334,1.18342242,2.22862878,1.20075915,0.87163687,1.07400070
2023-06-12,0.93409258,2.34502128,0.89211307,1.10723675,1.26454156,1.17065088,2.26763714,1.20549774,0.85582602,1.07258007
2023-06-13,0.94087030,2.30472882,0.89318232,1.08730135,1.25995827,1.18385168,2.12411580,1.18938653,0.86487901,1.06121498
2023-06-14,0.94456724,2.31610551,0.89905364,1.10463501,1.28258599,1.20002350,2.21538066,1.20391821,0.88005232,1.07598959
2023-06-15,0.93594105,2.36350841,0.90171718,1.10550225,1.28344410,1.21577571,2.16312417,1.20075915,0.88693769,1.07513721
2023-06-16,0.92854718,2.34596933,0.90438712,1.07518243,1.29461561,1.21961007,2.25064864,1.18117297,0.88834027,1.07542134
2023-06-19,0.93101180,2.38958000,0.92039397,1.08557812,1.29003232,1.23621115,2.30987624,1.19444103,0.88489758,1.07030705
2023-06-20,0.93286027,2.38910597,0.92252608,1.10376776,1.29662054,1.22428847,2.32126616,1.19507284,0.86207386,1.04984989
2023-06-21,0.94148646,2.46447658,0.92039397,1.11676519,1.29776737,1.23621115,2.41846017,1.19570465,0.85340339,1.03564353
2023-06-22,0.95812267,2.41754771,0.89638369,1.08210914,1.29232597,1.22428847,2.38808704,1.18433203,0.84881314,1.03422290
2023-06-23,0.95442573,2.41849577,0.88517890,1.11849968,1.31609650,1.22045894,2.29013371,1.20202277,0.84027018,1.03990544
2023-06-26,0.94518339,2.42418411,0.88090827,1.09510656,1.28745397,1.21875638,2.34176802,1.19444103,0.84205528,1.03422290
